2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=44 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=45 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=46 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=47 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=48 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=49 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=50 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=51 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=52 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=53 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=54 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=55 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=56 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=57 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=58 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=59 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=60 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=61 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=62 Enable=0.

2026-03-16 16:13:48.375 INFO  [34572] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=63 Enable=0.

2026-03-16 16:13:48.015 INFO  [37216] [InitPluginInstance@33] InitPluginInstance - Begin

2026-03-16 16:13:48.015 INFO  [37216] [CMonitorResourceUsage::Init@47] Init begin.

2026-03-16 16:13:48.015 INFO  [37216] [GetDllFilePath@262] path[C:\Program Files\VisionMaster4.4.0\Applications\Server]

2026-03-16 16:13:48.015 INFO  [37216] [CMonitorResourceUsage::LoadCfgParam@449] Now resource monitor interval[5]

2026-03-16 16:13:48.015 INFO  [37216] [CMonitorResourceUsage::StartMonitorThread@90] StartMonitorThread begin.

2026-03-16 16:13:48.015 INFO  [37216] [CMonitorResourceUsage::StartMonitorThread@121] StartCheckThread end.

2026-03-16 16:13:48.015 INFO  [37216] [InitPluginInstance@39] InitPluginInstance - End

2026-03-16 16:13:48.022 INFO  [3604] [CMonitorResourceUsage::DoMonitorRes@176] DoMonitorResource begin.

2026-03-16 16:13:48.022 INFO  [3604] [CMonitorResourceUsage::SystemVersionMoreThanWin10@155] MajorVersion[6] MinorVersion[2], 6.2 is win10

2026-03-16 16:13:48.022 INFO  [3604] [CMonitorResourceUsage::DoMonitorRes@200] Do not check process resource

2026-03-16 16:14:17.731 INFO  [27328] [CAuthorization::Init@57] [Init] Begin.

2026-03-16 16:14:17.818 INFO  [27328] [CDongleV5::LoginFirstValidVM3DLicense@96] 1 Lock are/is found totally.

2026-03-16 16:14:17.818 INFO  [27328] [CDongleV5::LoginFirstValidVM3DLicense@99] At Host[DESKTOP-P7BPLUG] LockType[1] LockID[-195238076] LicenseNum[2]

2026-03-16 16:14:17.818 INFO  [27328] [CDongleV5::LoginFirstValidVM3DLicense@102] LicenseID=[60012] LicenseType=[1]

2026-03-16 16:14:17.818 INFO  [27328] [CDongleV5::LoginFirstValidVM3DLicense@107] VM3D License Found. LicenseID=[60012] LicenseType=[1]

2026-03-16 16:14:17.818 INFO  [27328] [CDongleV5::LoginFirstValidVM3DLicense@102] LicenseID=[200000000] LicenseType=[1]

2026-03-16 16:14:17.921 INFO  [27328] [CDongleV5::LoginFirstValidVM3DLicense@239] MV_LoginLicenseEx sucessfully, handle[1] licId[60012]

2026-03-16 16:14:17.921 INFO  [27328] [CDongleV5::Login@327] LoginFirstValidVM3DLicense sucessfully, dongle type[0](0:dongle, 2:soft lock, 3:remote dongle) handle[1] licId[60012]

2026-03-16 16:14:17.921 INFO  [27328] [CDongleV5::GetDongleInfo@373] MV_GetUserDataSize begin

2026-03-16 16:14:17.939 INFO  [27328] [CDongleV5::GetDongleInfo@381] MV_GetUserDataSize end

2026-03-16 16:14:17.980 INFO  [27328] [CDongleV5::GetDongleInfo@398] MV_ReadUserData, Dongle name[3D7300], camera num[10], soft version[1], series[0], language[0]

2026-03-16 16:14:17.980 INFO  [27328] [CDongleV5::GetDongleInfo@404] Dongle serial number[FL0617219] len[9]

2026-03-16 16:14:18.092 INFO  [27328] [CDongleV5::GetLicenseInfo@572] GetRemainTime end.

2026-03-16 16:14:18.092 INFO  [27328] [CAuthorization::Init@77] [Init] Get license v5 sucessfully

2026-03-16 16:14:18.092 INFO  [27328] [CAuthorization::StartCheckThread@222] StartCheckThread begin.

2026-03-16 16:14:18.092 INFO  [27328] [CAuthorization::StartCheckThread@248] StartCheckThread end.

2026-03-16 16:14:18.092 INFO  [27328] [CAuthorization::Init@90] [Init] End.

2026-03-16 16:14:18.092 INFO  [27328] [InitPluginInstance@27] [Init] [End]

2026-03-16 16:14:18.112 INFO  [19732] [CAuthorization::DoAuthCheck@274] DoAuthCheck begin.

2026-03-16 16:14:18.212 INFO  [19732] [CDongleV5::LoginFirstValidVM3DLicense@96] 1 Lock are/is found totally.

2026-03-16 16:14:18.212 INFO  [19732] [CDongleV5::LoginFirstValidVM3DLicense@99] At Host[DESKTOP-P7BPLUG] LockType[1] LockID[-1634519756] LicenseNum[2]

2026-03-16 16:14:18.212 INFO  [19732] [CDongleV5::LoginFirstValidVM3DLicense@102] LicenseID=[60012] LicenseType=[1]

2026-03-16 16:14:18.212 INFO  [19732] [CDongleV5::LoginFirstValidVM3DLicense@107] VM3D License Found. LicenseID=[60012] LicenseType=[1]

2026-03-16 16:14:18.212 INFO  [19732] [CDongleV5::LoginFirstValidVM3DLicense@102] LicenseID=[200000000] LicenseType=[1]

2026-03-16 16:14:18.309 INFO  [19732] [CDongleV5::LoginFirstValidVM3DLicense@239] MV_LoginLicenseEx sucessfully, handle[2] licId[60012]

2026-03-16 16:14:18.309 INFO  [19732] [CDongleV5::Login@327] LoginFirstValidVM3DLicense sucessfully, dongle type[0](0:dongle, 2:soft lock, 3:remote dongle) handle[2] licId[60012]

2026-03-16 16:14:18.309 INFO  [19732] [CDongleV5::GetDongleInfo@373] MV_GetUserDataSize begin

2026-03-16 16:14:18.324 INFO  [19732] [CDongleV5::GetDongleInfo@381] MV_GetUserDataSize end

2026-03-16 16:14:18.343 INFO  [19732] [CDongleV5::GetDongleInfo@398] MV_ReadUserData, Dongle name[3D7300], camera num[10], soft version[1], series[0], language[0]

2026-03-16 16:14:18.343 INFO  [19732] [CDongleV5::GetDongleInfo@404] Dongle serial number[FL0617219] len[9]

2026-03-16 16:14:18.378 INFO  [19732] [CDongleV5::GetLicenseInfo@572] GetRemainTime end.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=0 Enable=1.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=1 Enable=1.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=2 Enable=1.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=3 Enable=1.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=4 Enable=1.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=5 Enable=1.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=6 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=7 Enable=1.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=8 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=9 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=10 Enable=1.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=11 Enable=1.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=12 Enable=1.

